file,line,seconds,kwargs,context
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,100,0.208129,{'run_time': 1.0},"tplay_csv(self, *[FadeIn(n, shift=DOWN, lag_ratio=0.05) for n in nodes], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,160,0.155454,{'run_time': 1.0},"tplay_csv(self, *[Create(a) for a in next_arrows], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,171,0.327711,{'run_time': 0.6},"tplay_csv(self, FadeIn(prev_ptr), FadeIn(curr_ptr), FadeIn(next_ptr), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.127757,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.325539,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.353522,,"tplay_csv(self, blink_line(0))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.351741,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.156499,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.483882,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.358521,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.315026,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.417161,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.120670,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.309602,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.403435,,"tplay_csv(self, blink_line(0))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.355956,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.162850,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.498667,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.374159,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.298989,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.451189,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.117679,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.500381,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.404002,,"tplay_csv(self, blink_line(0))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.385230,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.164765,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.758737,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.382196,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.488816,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.472637,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,261,0.282098,{'run_time': 0.8},"tplay_csv(self, GrowFromCenter(brace), FadeIn(final_text, shift=UP*0.2), run_time=0.8)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,265,0.179415,{'run_time': 0.2},"tplay_csv(self, caption.animate.set_opacity(0), run_time=0.2)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,267,0.211616,,"tplay_csv(self, FadeOut(caption, run_time=0.2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,274,1.279503,{'run_time': 0.35},"tplay_csv(self, FadeOut(code), FadeOut(bg), FadeIn(payoff, shift=UP), run_time=0.35)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,279,0.264809,{'run_time': 0.25},"tplay_csv(self, FadeIn(complexity, shift=UP*0.2), run_time=0.25)"
