epoch,step,train_loss,val_loss,perplexity
1,0,4.184323310852051,,
1,10,4.184694290161133,,
1,20,4.168308258056641,,
1,30,4.170750141143799,,
1,40,4.106031894683838,,
1,50,3.9664981365203857,,
1,60,3.8439667224884033,,
1,61,3.8439667224884033,3.828534698486328,45.99509215370608
2,0,3.921520709991455,,
2,10,3.6245439052581787,,
2,20,3.6194238662719727,,
2,30,3.797818183898926,,
2,40,3.438020944595337,,
2,50,3.0289883613586426,,
2,60,3.154961109161377,,
2,61,3.154961109161377,3.163365364074707,23.650053192144313
3,0,3.3686184883117676,,
3,10,2.9668874740600586,,
3,20,3.189370632171631,,
3,30,3.1039257049560547,,
3,40,2.7892422676086426,,
3,50,2.712775230407715,,
3,60,2.586937665939331,,
3,61,2.586937665939331,2.8215535640716554,16.80293484104715
4,0,2.8144431114196777,,
4,10,2.6638951301574707,,
4,20,2.923633575439453,,
4,30,2.5732643604278564,,
4,40,2.4556355476379395,,
4,50,2.5703487396240234,,
4,60,2.240273952484131,,
4,61,2.240273952484131,2.715094566345215,15.10603852720663
5,0,2.394744396209717,,
5,10,2.4891257286071777,,
5,20,2.6118276119232178,,
5,30,2.1543307304382324,,
5,40,2.235764980316162,,
5,50,2.416522979736328,,
5,60,2.058102607727051,,
5,61,2.058102607727051,2.6712884426116945,14.458586255355302
6,0,2.0425899028778076,,
6,10,2.337975263595581,,
6,20,2.3203439712524414,,
6,30,1.8443015813827515,,
6,40,2.0663959980010986,,
6,50,2.3202621936798096,,
6,60,1.933919906616211,,
6,61,1.933919906616211,2.6519556045532227,14.181745430724854
7,0,1.7682832479476929,,
7,10,2.1528878211975098,,
7,20,2.119706630706787,,
7,30,1.6197563409805298,,
7,40,1.9323110580444336,,
7,50,2.183255195617676,,
7,60,1.8419724702835083,,
7,61,1.8419724702835083,2.644159269332886,14.071609674836898
8,0,1.5750234127044678,,
8,10,1.9963322877883911,,
8,20,1.925987958908081,,
8,30,1.4178043603897095,,
8,40,1.8144688606262207,,
8,50,2.0487873554229736,,
8,60,1.7085366249084473,,
8,61,1.7085366249084473,2.6548681259155273,14.22311027600363
9,0,1.4526383876800537,,
9,10,1.8466686010360718,,
9,20,1.7721285820007324,,
9,30,1.3239812850952148,,
9,40,1.6836483478546143,,
9,50,1.9565131664276123,,
9,60,1.6280006170272827,,
9,61,1.6280006170272827,2.6717438220977785,14.465171898303312
10,0,1.3485256433486938,,
10,10,1.7385438680648804,,
10,20,1.6433258056640625,,
10,30,1.207085132598877,,
10,40,1.6173005104064941,,
10,50,1.8372883796691895,,
10,60,1.5597013235092163,,
10,61,1.5597013235092163,2.6841068267822266,14.645114912480379
