timestamp,2025-08-24_23-35-35
vocab_size,26
hidden_size,128
embed_dim,64
seq_len,64
batch_size,16
learning_rate,0.001
grad_clip_norm,1.0
train_duration_sec,20.08
num_steps,200
cpu,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel"
ram,7.75 GB
os,Windows-10-10.0.22621-SP0
jax_backend,cpu
jax_version,0.6.2
flax_version,0.10.7
optax_version,0.2.5
python_version,"3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]"
numpy_version,2.2.6

step,loss,hidden_state_norm,embed_norm,eval_loss,eval_ppl
0,3.271912097930908,3.2447376251220703,3.22517466545105,0.15149572491645813,1.1635732650756836
1,3.6759791374206543,3.7529044151306152,3.8422462940216064,0.143572598695755,1.154390573501587
2,31.86888885498047,31.82356834411621,31.8111515045166,0.14576804637908936,1.1569278240203857

final,,,,0.14552874863147736,1.1566510200500488
